Seq_id	Size	Description
1	1938566	CP003497.1
2	1938583	CP003039.2
3	1946899	CP007522.1
4	1938793	CP003498.1
5	1938680	CP001515.1
6	1938624	CP009045.1
7	1931028	CP007755.1
8	1935423	CP031154.1
9	1958622	CP010433.1
10	1944323	CP017098.1
11	1958622	LR699002.1
12	1944021	CP001892.1
13	1944072	CP022724.1
14	1931603	CP035497.1
15	1944145	CP042940.1
16	1933695	CP001213.1
17	1938606	CP004053.1
18	1944141	CP031703.1
19	1937168	CP047190.1
20	1942198	CP001853.1
21	1938454	CP001606.1
22	1943113	CP002915.1
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
10	+	1665992	1771561	105569
11	+	1665784	1771354	105570
12	+	1665779	1771349	105570
13	+	223782	329350	105568
14	+	1665781	1771352	105571
15	+	1605591	1711161	105570
16	+	791419	896597	105178
17	+	1660118	1765689	105571
18	-	506597	401027	105570
19	+	1667544	1773114	105570
20	+	357698	463033	105335
21	+	1660210	1765780	105570
22	+	1665113	1770549	105436
--------------------------------------------------------------------------------
Block #6
Seq_id	Strand	Start	End	Length
1	+	270367	281022	10655
2	+	270234	280889	10655
3	+	270238	280893	10655
4	+	270368	281023	10655
5	+	270368	281023	10655
6	+	270197	280852	10655
7	+	270748	281403	10655
8	+	270236	280891	10655
9	+	270368	281023	10655
10	+	270423	281078	10655
11	+	270368	281023	10655
12	+	270368	281023	10655
13	+	772494	783149	10655
14	+	270368	281023	10655
15	+	210176	220831	10655
16	+	270559	281214	10655
17	+	270229	280884	10655
18	-	1902008	1891353	10655
19	+	270369	281024	10655
20	+	905949	916604	10655
21	+	270369	281024	10655
22	+	270378	281033	10655
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	+	228227	267413	39186
2	+	228094	267280	39186
3	+	228097	267284	39187
4	+	228228	267414	39186
5	+	228228	267414	39186
6	+	228095	267243	39148
7	+	228608	267794	39186
8	+	228096	267282	39186
9	+	228228	267414	39186
10	+	228283	267469	39186
11	+	228228	267414	39186
12	+	228228	267414	39186
13	+	730356	769540	39184
14	+	228228	267414	39186
15	+	168036	207222	39186
16	+	228419	267605	39186
17	+	228090	267275	39185
18	-	1944141	1904962	39179
19	+	228229	267415	39186
20	+	863840	902995	39155
21	+	228229	267415	39186
22	+	228238	267424	39186
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	+	83060	228225	145165
2	+	82927	228092	145165
3	+	82929	228095	145166
4	+	83060	228226	145166
5	+	83060	228226	145166
6	+	82927	228093	145166
7	+	83440	228606	145166
8	+	82927	228094	145167
9	+	83060	228226	145166
10	+	83091	228281	145190
11	+	83060	228226	145166
12	+	83060	228226	145166
13	+	585192	730354	145162
14	+	83060	228226	145166
15	+	22868	168034	145166
16	+	83497	228417	144920
17	+	82923	228088	145165
18	-	145175	1	145174
19	+	83060	228227	145167
20	+	718687	863838	145151
21	+	83060	228227	145167
22	+	83070	228236	145166
--------------------------------------------------------------------------------
Block #3
Seq_id	Strand	Start	End	Length
1	+	60178	79089	18911
2	+	60045	78956	18911
3	+	60051	78962	18911
4	+	60178	79089	18911
5	+	60178	79089	18911
6	+	60045	78956	18911
7	+	60558	79469	18911
8	+	60045	78956	18911
9	+	60178	79089	18911
10	+	60209	79120	18911
11	+	60178	79089	18911
12	+	60178	79089	18911
13	+	562311	581221	18910
14	+	60178	79089	18911
15	+	1	18897	18896
16	+	60615	79526	18911
17	+	60043	78952	18909
18	-	168058	149146	18912
19	+	60178	79089	18911
20	+	695805	714716	18911
21	+	60178	79089	18911
22	+	60188	79099	18911
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	134	51922	51788
2	+	1	51789	51788
3	+	13	51801	51788
4	+	134	51922	51788
5	+	134	51922	51788
6	+	1	51789	51788
7	+	134	51922	51788
8	+	1	51789	51788
9	+	134	51922	51788
10	+	165	51953	51788
11	+	134	51922	51788
12	+	134	51922	51788
13	+	502269	554056	51787
14	+	134	51922	51788
15	+	1884087	1935875	51788
16	+	165	51953	51788
17	+	1	51787	51786
18	-	228102	176313	51789
19	+	134	51922	51788
20	+	635782	687570	51788
21	+	134	51922	51788
22	+	163	51951	51788
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
1	+	53701	60176	6475
2	+	53568	60043	6475
3	+	53574	60049	6475
4	+	53701	60176	6475
5	+	53701	60176	6475
6	+	53568	60043	6475
7	+	54081	60556	6475
8	+	53568	60043	6475
9	+	53701	60176	6475
10	+	53732	60207	6475
11	+	53701	60176	6475
12	+	53701	60176	6475
13	+	555835	562309	6474
14	+	53701	60176	6475
15	+	1937654	1944145	6491
16	+	53732	60613	6881
17	+	53566	60041	6475
18	-	174534	168059	6475
19	+	53701	60176	6475
20	+	689349	695803	6454
21	+	53701	60176	6475
22	+	53730	60186	6456
--------------------------------------------------------------------------------
Block #7
Seq_id	Strand	Start	End	Length
1	+	282784	573724	290940
2	+	282651	573588	290937
3	+	282616	573559	290943
4	+	282785	573726	290941
5	+	282785	573725	290940
6	+	282614	573560	290946
7	+	283165	574084	290919
8	+	282653	573595	290942
9	+	282785	573727	290942
10	+	282840	573780	290940
11	+	282785	573727	290942
12	+	282785	573727	290942
13	+	784911	1075830	290919
14	+	282785	573728	290943
15	+	222593	513537	290944
16	+	282976	573311	290335
17	+	282646	573589	290943
18	-	1889591	1598649	290942
19	+	282786	573729	290943
20	+	918366	1209160	290794
21	+	282786	573726	290940
22	+	282795	573731	290936
--------------------------------------------------------------------------------
Block #8
Seq_id	Strand	Start	End	Length
1	+	574338	608544	34206
2	+	574202	608408	34206
3	+	574251	608457	34206
4	+	574340	608545	34205
5	+	574339	608544	34205
6	+	574174	608380	34206
7	+	574698	608905	34207
8	+	574209	608415	34206
9	+	574341	608547	34206
10	+	574394	608599	34205
11	+	574341	608547	34206
12	+	574341	608547	34206
13	+	1076444	1110649	34205
14	+	574342	608548	34206
15	+	514151	548357	34206
16	+	574497	608702	34205
17	+	574203	608409	34206
18	-	1598036	1563830	34206
19	+	574343	608549	34206
20	+	1209734	1243938	34204
21	+	574340	608546	34206
22	+	574301	608507	34206
--------------------------------------------------------------------------------
Block #9
Seq_id	Strand	Start	End	Length
1	+	611089	635083	23994
2	+	610953	634947	23994
3	+	611002	634997	23995
4	+	611090	635084	23994
5	+	611089	635083	23994
6	+	610925	634880	23955
7	+	611450	635444	23994
8	+	610960	634954	23994
9	+	611092	635086	23994
10	+	611144	635138	23994
11	+	611092	635086	23994
12	+	611092	635086	23994
13	+	1113194	1137187	23993
14	+	611093	635087	23994
15	+	550902	574896	23994
16	+	1336377	1360371	23994
17	+	610954	634948	23994
18	-	1561285	1537290	23995
19	+	611094	635088	23994
20	+	1246483	1270458	23975
21	+	611091	635085	23994
22	+	611052	635023	23971
--------------------------------------------------------------------------------
Block #10
Seq_id	Strand	Start	End	Length
1	+	635808	1144895	509087
2	+	635670	1144734	509064
3	+	635722	1144808	509086
4	+	635809	1144898	509089
5	+	635808	1144843	509035
6	+	635605	1144694	509089
7	+	636169	1145258	509089
8	+	635679	1144767	509088
9	+	635811	1144901	509090
10	+	635863	1144897	509034
11	+	635811	1144901	509090
12	+	635811	1144899	509088
13	+	1137912	1646988	509076
14	+	635812	1144901	509089
15	+	575621	1084711	509090
16	+	1362090	1871704	509614
17	+	635673	1144758	509085
18	-	1536565	1027477	509088
19	+	635813	1144901	509088
20	+	1271166	1779601	508435
21	+	635810	1144778	508968
22	+	635732	1144512	508780
--------------------------------------------------------------------------------
Block #11
Seq_id	Strand	Start	End	Length
1	+	1144897	1259323	114426
2	+	1144736	1259163	114427
3	+	1144810	1259237	114427
4	+	1144900	1259327	114427
5	+	1144845	1259272	114427
6	+	1144696	1259123	114427
7	+	1145260	1259687	114427
8	+	1144769	1259196	114427
9	+	1144903	1259330	114427
10	+	1144899	1259326	114427
11	+	1144903	1259330	114427
12	+	1144901	1259328	114427
13	+	1646990	1761412	114422
14	+	1144903	1259330	114427
15	+	1084713	1199140	114427
16	-	1336356	1221658	114698
17	+	1144760	1259186	114426
18	-	1027476	913048	114428
19	+	1144903	1259330	114427
20	+	1779603	1893843	114240
21	+	1144780	1259207	114427
22	+	1144514	1258786	114272
--------------------------------------------------------------------------------
Block #12
Seq_id	Strand	Start	End	Length
1	+	1260899	1304277	43378
2	+	1260728	1304105	43377
3	+	1260813	1304191	43378
4	+	1260903	1304281	43378
5	+	1260848	1304226	43378
6	+	1260699	1304077	43378
7	+	1261263	1304641	43378
8	+	1260772	1304150	43378
9	+	1260906	1304284	43378
10	+	1260902	1304280	43378
11	+	1260906	1304284	43378
12	+	1260904	1304282	43378
13	+	1762988	1806366	43378
14	+	1260906	1304284	43378
15	+	1200716	1244094	43378
16	-	1218710	1175331	43379
17	+	1260762	1304140	43378
18	-	911471	868093	43378
19	+	1260906	1304284	43378
20	+	1895396	1938713	43317
21	+	1260783	1304159	43376
22	+	1260339	1303717	43378
--------------------------------------------------------------------------------
Block #13
Seq_id	Strand	Start	End	Length
1	+	1305689	1436597	130908
2	+	1305517	1436406	130889
3	+	1305603	1436511	130908
4	+	1305693	1436601	130908
5	+	1305638	1436546	130908
6	+	1305489	1436397	130908
7	+	1306053	1436961	130908
8	+	1310997	1441905	130908
9	+	1311143	1442051	130908
10	+	1311139	1442047	130908
11	+	1311143	1442051	130908
12	+	1311141	1442049	130908
13	+	1813225	1944072	130847
14	+	1311143	1442051	130908
15	+	1250953	1381861	130908
16	+	914647	1045451	130804
17	+	1305552	1436460	130908
18	-	861234	730327	130907
19	+	1312904	1443812	130908
20	+	3317	134082	130765
21	+	1305571	1436479	130908
22	+	1310518	1441395	130877
--------------------------------------------------------------------------------
Block #14
Seq_id	Strand	Start	End	Length
1	+	1436598	1470948	34350
2	+	1436407	1470756	34349
3	+	1436512	1470861	34349
4	+	1436602	1470953	34351
5	+	1436547	1470897	34350
6	+	1436398	1470747	34349
7	+	1436962	1471312	34350
8	+	1441906	1476255	34349
9	+	1442052	1476401	34349
10	+	1442048	1476398	34350
11	+	1442052	1476401	34349
12	+	1442050	1476399	34349
13	+	44	34408	34364
14	+	1442052	1476401	34349
15	+	1381862	1416211	34349
16	+	1045452	1079803	34351
17	+	1436461	1470809	34348
18	-	730325	695976	34349
19	+	1443813	1478162	34349
20	+	134083	168393	34310
21	+	1436480	1470829	34349
22	+	1441396	1475745	34349
--------------------------------------------------------------------------------
Block #15
Seq_id	Strand	Start	End	Length
1	+	1477665	1511685	34020
2	+	1477475	1511495	34020
3	+	1477581	1511601	34020
4	+	1477672	1511691	34019
5	+	1477616	1511636	34020
6	+	1477466	1511485	34019
7	+	1472460	1506481	34021
8	+	1482974	1516995	34021
9	+	1483120	1517142	34022
10	+	1483117	1517135	34018
11	+	1483120	1517142	34022
12	+	1483118	1517137	34019
13	+	41124	75142	34018
14	+	1483120	1517139	34019
15	+	1422929	1456949	34020
16	+	608755	642779	34024
17	+	1477526	1511546	34020
18	-	689259	655240	34019
19	+	1484881	1518902	34021
20	+	175076	209096	34020
21	+	1477548	1511568	34020
22	+	1482464	1516484	34020
--------------------------------------------------------------------------------
Block #16
Seq_id	Strand	Start	End	Length
1	+	1513048	1658922	145874
2	+	1512858	1658731	145873
3	+	1512677	1658548	145871
4	+	1513269	1659141	145872
5	+	1513213	1659085	145872
6	+	1512848	1658720	145872
7	+	1507844	1653716	145872
8	+	1518358	1664230	145872
9	+	1518505	1664377	145872
10	+	1518712	1664585	145873
11	+	1518505	1664377	145872
12	+	1518500	1664372	145872
13	+	76505	222375	145870
14	+	1518502	1664374	145872
15	+	1458312	1604184	145872
16	+	644142	790012	145870
17	+	1512839	1658711	145872
18	-	653876	508004	145872
19	+	1520265	1666137	145872
20	+	210459	356291	145832
21	+	1512931	1658803	145872
22	+	1517847	1663706	145859
--------------------------------------------------------------------------------
